level,control,student_count,awards_per_value,pell_value
4-year,Public,2375,14.7,42.5
4-year,Public,1844,12.4,42.4
4-year,Public,22968,21.6,42.4
4-year,Public,2646,7.9,42.4
4-year,Private not-for-profit,1705,22.4,42.4
4-year,Private not-for-profit,800,30,42.4
4-year,Private not-for-profit,922,18.6,42.4
2-year,Public,8839,16.9,42.3
2-year,Public,3599,23.4,42.3
2-year,Private for-profit,415,36.8,42.3
2-year,Private for-profit,387,24.7,42.3
2-year,Public,12274,16.3,42.3
4-year,Private not-for-profit,1806,21.9,42.3
4-year,Private not-for-profit,1656,25.1,42.3
4-year,Private not-for-profit,1416,20,42.3
2-year,Public,2698,18.5,42.3
4-year,Private not-for-profit,1195,37,42.3
4-year,Public,3621,6.8,42.3
4-year,Public,2221,11.6,42.3
4-year,Public,15462,23.4,42.2
2-year,Private for-profit,258,50.3,42.2
4-year,Private not-for-profit,947,26,42.2
4-year,Private not-for-profit,2096,20.1,42.2
4-year,Private not-for-profit,1829,31.2,42.1
4-year,Private not-for-profit,1795,23.6,42.1
2-year,Public,3652,19.3,42.1
4-year,Private not-for-profit,1728,21,42.1
2-year,Private for-profit,471,39.7,42.1
4-year,Private for-profit,563,36.3,42.1
2-year,Public,2958,20.2,42.1
2-year,Public,4603,16.9,42
4-year,Private not-for-profit,1989,11.5,42
4-year,Private not-for-profit,4117,35.6,42
4-year,Private not-for-profit,2894,25.2,42
2-year,Private not-for-profit,103,36.3,42
2-year,Private for-profit,1119,55.3,41.9
4-year,Private not-for-profit,2005,24,41.9
2-year,Private for-profit,404,26.3,41.9
4-year,Private not-for-profit,2702,19.1,41.9
2-year,Public,643,26.9,41.9
4-year,Public,1059,12.9,41.9
4-year,Public,1155,17,41.9
4-year,Public,1230,14.2,41.9
4-year,Public,2263,10.3,41.9
4-year,Public,44201,23.3,41.9
4-year,Public,1091,2.5,41.8
4-year,Public,2330,10.5,41.8
4-year,Public,2012,10.8,41.8
4-year,Public,2596,5.2,41.8
4-year,Public,23504,25.5,41.8
4-year,Public,2042,8.4,41.8
2-year,Private for-profit,183,35.5,41.8
4-year,Private not-for-profit,1830,19.9,41.8
4-year,Private not-for-profit,2479,20.1,41.7
2-year,Public,14691,12.5,41.7
4-year,Private not-for-profit,135,20.8,41.7
2-year,Private for-profit,311,33.2,41.7
4-year,Private for-profit,2802,21.2,41.7
4-year,Private not-for-profit,2206,22,41.7
2-year,Private for-profit,140,32.5,41.7
4-year,Public,4255,14.9,41.6
2-year,Public,19176,14.8,41.6
2-year,Private for-profit,105,24.8,41.6
2-year,Private for-profit,87,24.6,41.6
2-year,Private for-profit,69,33.8,41.6
2-year,Private for-profit,76,41.1,41.6
4-year,Private for-profit,1045,31.5,41.6
4-year,Private for-profit,694,36,41.6
2-year,Private for-profit,123,48.8,41.5
2-year,Private for-profit,58,41.6,41.5
2-year,Public,15450,14.8,41.5
2-year,Private for-profit,790,31.4,41.5
4-year,Private not-for-profit,2112,24.9,41.5
2-year,Public,2431,21.3,41.5
4-year,Private not-for-profit,140,7.6,41.5
2-year,Public,2923,10.8,41.5
4-year,Private not-for-profit,3764,11.1,41.4
4-year,Public,16153,18,41.4
2-year,Private for-profit,302,28.4,41.4
2-year,Private for-profit,240,41.3,41.4
4-year,Private not-for-profit,1241,52.7,41.4
4-year,Private not-for-profit,1584,18,41.4
4-year,Private not-for-profit,805,31.4,41.4
2-year,Private for-profit,173,30.8,41.3
4-year,Private not-for-profit,2385,21.8,41.3
2-year,Public,1759,27.4,41.3
4-year,Private not-for-profit,463,17.9,41.3
4-year,Private not-for-profit,1169,22.9,41.3
4-year,Private not-for-profit,1959,19.6,41.3
4-year,Private not-for-profit,2116,20.7,41.3
4-year,Public,12796,18.5,41.3
4-year,Public,1096,16.6,41.2
4-year,Private not-for-profit,4620,20.4,41.2
4-year,Private for-profit,472,34.8,41.2
4-year,Public,12138,14.9,41.2
4-year,Private not-for-profit,965,13.9,41.2
4-year,Private not-for-profit,1214,32.7,41.2
4-year,Private not-for-profit,1743,33.1,41.2
4-year,Public,5358,16.3,41.2
2-year,Public,2458,23.2,41.1
4-year,Public,15218,19.4,41.1
2-year,Public,2397,14.7,41.1
4-year,Public,3757,19.8,41.1
2-year,Public,1832,17.6,41.1
2-year,Public,2971,18.5,41.1
4-year,Private not-for-profit,197,23.3,41.1
4-year,Public,2075,15.8,41.1
2-year,Public,2343,21.1,41.1
4-year,Private for-profit,817,37.5,41.1
4-year,Public,7418,22.3,41
2-year,Public,4909,22.5,41
2-year,Public,2347,20.1,41
4-year,Public,2077,19.1,41
4-year,Private not-for-profit,1962,18.4,41
4-year,Public,1375,22.2,41
4-year,Public,20660,20.4,41
4-year,Public,6996,16.1,41
4-year,Private not-for-profit,2019,18,41
2-year,Public,13491,14.7,41
4-year,Private not-for-profit,1964,29.5,40.9
4-year,Public,20985,21.3,40.9
4-year,Public,3618,22,40.9
4-year,Private not-for-profit,2884,17,40.9
2-year,Private for-profit,200,32.3,40.9
4-year,Public,4473,15.9,40.9
2-year,Public,7193,16.6,40.8
4-year,Private not-for-profit,633,26,40.8
4-year,Public,918,20.1,40.8
2-year,Public,2020,19.8,40.8
4-year,Public,3498,19.7,40.8
4-year,Private not-for-profit,804,33.2,40.8
4-year,Public,4162,17.8,40.8
2-year,Public,18640,18.5,40.8
2-year,Private for-profit,1094,71.9,40.8
4-year,Private not-for-profit,3428,21.1,40.7
2-year,Public,1690,13.7,40.7
4-year,Private for-profit,1348,19.5,40.7
2-year,Public,1880,16.3,40.7
2-year,Public,6760,13.9,40.7
2-year,Public,12111,14.9,40.6
2-year,Public,7368,20.5,40.6
2-year,Public,1069,16.9,40.6
2-year,Private for-profit,925,40.7,40.6
4-year,Private not-for-profit,1388,22.1,40.6
4-year,Public,3754,21.4,40.6
4-year,Private not-for-profit,179,11.4,40.6
4-year,Private not-for-profit,2384,24.8,40.5
4-year,Private for-profit,605,33.6,40.5
2-year,Public,11002,20.3,40.5
4-year,Private not-for-profit,2126,19.9,40.5
4-year,Private not-for-profit,1671,18.5,40.5
2-year,Public,5617,16.4,40.5
4-year,Private not-for-profit,741,37.8,40.5
4-year,Private not-for-profit,70,59.7,40.5
2-year,Public,9393,16.4,40.4
4-year,Private not-for-profit,438,26.2,40.4
4-year,Private not-for-profit,484,28.6,40.4
4-year,Public,4366,22.4,40.4
4-year,Private not-for-profit,139,20.3,40.4
4-year,Public,23157,19.6,40.3
4-year,Public,20797,21.4,40.3
4-year,Private not-for-profit,413,19.5,40.3
4-year,Private not-for-profit,1785,22.8,40.3
2-year,Public,32411,16.1,40.3
4-year,Public,22927,23.9,40.3
4-year,Private not-for-profit,3494,21.9,40.2
4-year,Private not-for-profit,1395,22.8,40.2
2-year,Public,5530,19.7,40.2
4-year,Private for-profit,1109,36.4,40.2
4-year,Public,5500,17.4,40.2
2-year,Public,2038,18.8,40.2
2-year,Public,2443,17.1,40.2
2-year,Public,2183,22.1,40.1
4-year,Private not-for-profit,503,25.6,40.1
4-year,Private not-for-profit,936,24.4,40.1
2-year,Private for-profit,227,43.2,40.1
4-year,Private not-for-profit,2119,21.8,40.1
4-year,Public,5263,20.5,40
4-year,Private not-for-profit,270,21,40
4-year,Private not-for-profit,2349,21.9,40
2-year,Public,18229,16.5,39.9
4-year,Private not-for-profit,2161,23.2,39.9
4-year,Private not-for-profit,2482,22.4,39.9
4-year,Private not-for-profit,2371,21.5,39.9
2-year,Private for-profit,189,46.6,39.9
4-year,Private for-profit,462,19.8,39.9
4-year,Private for-profit,2494,22.4,39.9
4-year,Private for-profit,1544,22,39.9
4-year,Private not-for-profit,624,21.6,39.9
2-year,Public,2335,22.9,39.8
4-year,Private not-for-profit,2453,20,39.8
2-year,Private not-for-profit,159,42.7,39.8
4-year,Public,9416,18.8,39.8
2-year,Private for-profit,439,39.9,39.8
4-year,Private not-for-profit,1328,23.8,39.8
4-year,Private not-for-profit,3532,22.9,39.8
2-year,Public,9880,12.5,39.8
2-year,Private for-profit,89,52.4,39.7
2-year,Public,3686,17.8,39.7
4-year,Private not-for-profit,1337,22.2,39.7
4-year,Public,6450,21.9,39.7
2-year,Private for-profit,142,29.8,39.7
4-year,Private not-for-profit,2100,23.3,39.7
4-year,Private not-for-profit,5917,23.2,39.7
4-year,Private not-for-profit,1286,30.1,39.6
4-year,Private for-profit,1277,23.6,39.6
4-year,Private not-for-profit,973,24.7,39.6
4-year,Private not-for-profit,1517,25.8,39.6
4-year,Public,1179,12.6,39.6
2-year,Private for-profit,718,27.8,39.6
4-year,Public,5199,20.5,39.6
2-year,Private for-profit,107,48.4,39.6
4-year,Private not-for-profit,122,20.5,39.5
2-year,Private for-profit,163,27,39.5
2-year,Public,13198,15,39.5
4-year,Private not-for-profit,1807,20.2,39.5
4-year,Private not-for-profit,2396,21.8,39.5
2-year,Private for-profit,274,31.7,39.4
4-year,Private not-for-profit,16616,18.1,39.4
2-year,Private for-profit,122,42.2,39.4
2-year,Private for-profit,600,35.5,39.4
4-year,Private not-for-profit,5970,20.6,39.4
4-year,Public,6186,20.7,39.4
4-year,Private not-for-profit,2541,27.9,39.4
4-year,Public,5864,18.1,39.4
4-year,Private not-for-profit,1844,22.4,39.3
2-year,Private for-profit,209,33.3,39.3
2-year,Private for-profit,216,27.2,39.3
4-year,Private not-for-profit,2297,22.1,39.3
4-year,Private not-for-profit,3111,18.2,39.3
4-year,Private not-for-profit,1541,23.9,39.3
4-year,Private not-for-profit,2524,22.9,39.3
4-year,Private not-for-profit,2062,32.4,39.2
2-year,Private not-for-profit,1627,27.9,39.2
2-year,Public,20780,15.7,39.2
4-year,Private not-for-profit,1187,24.2,39.2
2-year,Private not-for-profit,206,35.6,39.2
4-year,Private not-for-profit,2182,25.3,39.2
2-year,Private for-profit,86,21.3,39.2
2-year,Private for-profit,557,23.5,39.2
4-year,Private not-for-profit,2560,25.4,39.2
4-year,Public,12668,18.4,39.1
2-year,Private not-for-profit,427,36.4,39.1
4-year,Private not-for-profit,1625,21.6,39.1
4-year,Private not-for-profit,1574,17.3,39.1
4-year,Private not-for-profit,2144,21.6,39.1
4-year,Public,8815,20.3,39.1
4-year,Private not-for-profit,1363,22.1,39.1
4-year,Private not-for-profit,4409,22.1,39.1
2-year,Private not-for-profit,1454,19.8,39.1
4-year,Private not-for-profit,2486,22.9,39
4-year,Private not-for-profit,1313,28.9,39
2-year,Private for-profit,382,40.2,39
4-year,Private not-for-profit,1766,23.1,39
2-year,Public,7128,18,39
2-year,Private for-profit,976,36.3,39
4-year,Private not-for-profit,4931,22.1,39
2-year,Private for-profit,568,56.9,39
2-year,Private for-profit,273,46.3,39
4-year,Public,1624,18.7,39
4-year,Public,4855,19.1,39
2-year,Public,6411,19.2,39
4-year,Private not-for-profit,1307,19.4,39
2-year,Private not-for-profit,858,24.2,39
4-year,Public,2717,20.9,39
4-year,Private not-for-profit,2148,21.1,38.9
2-year,Private for-profit,385,34.4,38.9
4-year,Private not-for-profit,2680,22.9,38.9
4-year,Private not-for-profit,2772,21.7,38.9
2-year,Private not-for-profit,96,25.8,38.9
4-year,Public,7388,21.1,38.9
4-year,Private not-for-profit,2417,24.1,38.8
2-year,Public,13122,15,38.8
4-year,Private not-for-profit,437,24.6,38.8
4-year,Private not-for-profit,1553,23.4,38.8
4-year,Private not-for-profit,1781,24.6,38.8
4-year,Private not-for-profit,2448,21.3,38.8
4-year,Private not-for-profit,2573,20.6,38.8
2-year,Private for-profit,856,61.5,38.8
2-year,Public,10666,18.6,38.8
2-year,Private not-for-profit,548,1.8,38.8
2-year,Private not-for-profit,743,30.5,38.7
4-year,Public,3943,20.2,38.7
4-year,Public,680,16.7,38.7
4-year,Public,568,24,38.7
4-year,Public,606,12.5,38.7
4-year,Public,1178,16.1,38.7
4-year,Public,889,8.4,38.7
4-year,Public,3861,10.6,38.7
4-year,Public,703,11,38.7
4-year,Public,2712,11.4,38.7
4-year,Public,3577,21,38.6
4-year,Public,1492,12.6,38.6
4-year,Public,704,21.6,38.6
4-year,Public,846,24.1,38.6
4-year,Public,951,8.8,38.6
4-year,Public,40085,27.2,38.6
4-year,Public,623,7.8,38.6
4-year,Public,1022,15.5,38.6
4-year,Public,3690,14.1,38.5
4-year,Public,837,9.6,38.5
4-year,Public,1141,13.9,38.5
2-year,Private for-profit,65,30.1,38.5
4-year,Private not-for-profit,1759,30.7,38.5
2-year,Private for-profit,346,34.6,38.5
2-year,Private for-profit,551,63,38.5
4-year,Private not-for-profit,198,24.9,38.5
4-year,Private not-for-profit,223,19.7,38.5
4-year,Private not-for-profit,11525,25.2,38.5
4-year,Private not-for-profit,2811,22,38.4
4-year,Private not-for-profit,1890,21.6,38.4
4-year,Private not-for-profit,844,34,38.4
4-year,Private not-for-profit,1837,22.5,38.4
2-year,Public,19063,12.2,38.4
4-year,Public,1481,21.9,38.3
4-year,Public,1677,15.7,38.3
4-year,Public,2840,17.5,38.3
4-year,Public,18615,23.4,38.3
2-year,Public,367,15.1,38.3
2-year,Private not-for-profit,354,26.6,38.2
2-year,Private not-for-profit,232,19,38.2
2-year,Private for-profit,1841,23.9,38.2
2-year,Private for-profit,315,23.7,38.2
4-year,Private not-for-profit,3226,22,38.2
2-year,Public,4538,13,38.2
4-year,Private for-profit,427,56.5,38.2
2-year,Private for-profit,519,42.7,38.1
4-year,Private not-for-profit,4496,19.2,38.1
2-year,Private not-for-profit,684,15.3,38.1
4-year,Private not-for-profit,531,21.3,38.1
4-year,Private not-for-profit,1694,19.2,38.1
4-year,Private not-for-profit,5374,24.3,38.1
4-year,Private not-for-profit,1596,21.6,38.1
4-year,Private not-for-profit,3942,21.7,38
4-year,Private not-for-profit,1958,18.1,38
2-year,Private for-profit,285,29.4,38
4-year,Public,6550,20.7,38
4-year,Public,7595,21.4,38
4-year,Private not-for-profit,84,16.8,38
2-year,Private for-profit,665,29.4,38
4-year,Private not-for-profit,2187,19.6,38
4-year,Private not-for-profit,1534,24,38
2-year,Public,883,31,38
4-year,Private not-for-profit,124,15.7,37.9
4-year,Public,28068,22.2,37.9
4-year,Private not-for-profit,1100,15.4,37.9
2-year,Private for-profit,851,41.5,37.9
2-year,Private for-profit,74,39.6,37.9
2-year,Private for-profit,251,35.4,37.9
2-year,Private for-profit,171,42,37.9
2-year,Private for-profit,184,43.5,37.9
4-year,Private not-for-profit,1596,24.8,37.9
4-year,Private not-for-profit,964,16.4,37.8
2-year,Private not-for-profit,268,20.3,37.8
4-year,Private not-for-profit,7042,23.7,37.8
4-year,Private not-for-profit,1328,23.1,37.8
4-year,Private not-for-profit,1598,22.4,37.8
4-year,Public,13711,21.4,37.8
2-year,Private for-profit,438,32.4,37.8
4-year,Private not-for-profit,1313,18.8,37.8
2-year,Public,6104,15.3,37.8
4-year,Private not-for-profit,3424,21.5,37.7
4-year,Private not-for-profit,2388,20.2,37.7
4-year,Private not-for-profit,571,16.5,37.7
4-year,Private not-for-profit,5010,19.3,37.7
2-year,Private for-profit,2027,35.3,37.7
2-year,Private for-profit,122,30.5,37.7
4-year,Private not-for-profit,6455,25.3,37.6
4-year,Private not-for-profit,3287,24.7,37.6
4-year,Private not-for-profit,9401,26.7,37.6
4-year,Private not-for-profit,2860,35.1,37.6
4-year,Private not-for-profit,4135,22.8,37.6
4-year,Public,7505,18.9,37.6
2-year,Public,17699,16,37.6
4-year,Public,13354,20.6,37.6
4-year,Private not-for-profit,2005,23.4,37.6
4-year,Private not-for-profit,4411,22.2,37.6
4-year,Private not-for-profit,2026,21.6,37.5
4-year,Private not-for-profit,396,21,37.5
2-year,Public,2583,15.1,37.5
4-year,Private not-for-profit,651,9.6,37.5
4-year,Private not-for-profit,2652,13.6,37.5
4-year,Private not-for-profit,2912,16,37.5
2-year,Public,2427,13.1,37.5
4-year,Private not-for-profit,2512,11.5,37.5
4-year,Private for-profit,2913,22.8,37.4
4-year,Private not-for-profit,1333,32,37.4
4-year,Public,10488,21,37.4
2-year,Public,1153,17.3,37.4
4-year,Public,2735,17.5,37.4
4-year,Private not-for-profit,1834,17,37.4
4-year,Public,16931,21.6,37.4
4-year,Private not-for-profit,185,23,37.3
4-year,Private not-for-profit,1144,22.2,37.3
4-year,Private not-for-profit,584,24.5,37.3
4-year,Private not-for-profit,1010,21.2,37.3
4-year,Private not-for-profit,746,21.4,37.3
2-year,Public,1838,8,37.3
4-year,Private not-for-profit,605,20.1,37.3
2-year,Public,5991,13.1,37.3
2-year,Private for-profit,135,25.2,37.3
4-year,Public,3714,16.5,37.3
4-year,Private not-for-profit,2797,22.1,37.3
2-year,Public,13448,13.7,37.3
2-year,Public,7660,16.8,37.2
4-year,Public,2792,15.9,37.2
4-year,Private not-for-profit,3241,27.5,37.2
2-year,Public,11634,12.8,37.2
4-year,Private not-for-profit,824,11.8,37.2
4-year,Private not-for-profit,1039,17.7,37.2
4-year,Private not-for-profit,2257,18,37.1
2-year,Public,2718,13.9,37.1
2-year,Public,6171,15,37.1
4-year,Private not-for-profit,1123,21.8,37.1
4-year,Public,3175,18.6,37.1
4-year,Public,1724,16,37.1
4-year,Public,24180,20.4,37
2-year,Public,1811,11.6,37
2-year,Public,1021,19.8,37
2-year,Public,924,11.3,37
2-year,Public,484,17,37
4-year,Public,8867,17.2,36.9
4-year,Public,2937,16,36.9
4-year,Public,5308,22.1,36.9
2-year,Private not-for-profit,818,23.3,36.9
2-year,Public,5864,12.2,36.9
2-year,Public,4456,11,36.9
2-year,Public,6553,14.3,36.9
2-year,Public,17489,11.6,36.9
4-year,Private not-for-profit,536,16,36.9
2-year,Public,729,19.3,36.9
4-year,Public,5048,20.1,36.8
4-year,Private not-for-profit,1615,21.3,36.8
2-year,Public,5030,14.6,36.8
4-year,Private not-for-profit,1697,19.5,36.8
4-year,Public,4002,17.2,36.8
2-year,Private not-for-profit,253,15.5,36.8
4-year,Public,2876,16.5,36.7
4-year,Private not-for-profit,810,23.2,36.7
2-year,Public,1559,29,36.7
2-year,Public,1203,37.8,36.7
4-year,Private not-for-profit,1068,22.7,36.7
4-year,Private for-profit,1926,16.1,36.7
4-year,Private for-profit,659,17.2,36.7
4-year,Public,2826,15.3,36.7
4-year,Public,1517,16.6,36.6
4-year,Private not-for-profit,791,24.4,36.6
4-year,Public,2328,13.9,36.6
4-year,Public,10969,19.1,36.6
4-year,Private not-for-profit,577,17.4,36.6
4-year,Private not-for-profit,1100,25.2,36.6
2-year,Public,194,20.7,36.6
2-year,Public,2467,32.1,36.5
4-year,Public,7633,21.6,36.5
2-year,Public,1030,31.9,36.5
4-year,Private not-for-profit,141,14.3,36.5
4-year,Private not-for-profit,505,42.4,36.5
4-year,Public,9550,19.7,36.5
4-year,Private not-for-profit,1101,22.8,36.4
4-year,Private not-for-profit,5506,21.7,36.4
4-year,Private not-for-profit,5124,15,36.4
4-year,Private not-for-profit,1573,24.7,36.4
4-year,Private not-for-profit,1713,19.5,36.4
2-year,Public,9910,15.5,36.4
4-year,Private not-for-profit,1168,18.4,36.4
2-year,Public,3790,19.5,36.4
2-year,Public,5225,20.9,36.4
2-year,Private for-profit,1313,15.3,36.4
4-year,Private not-for-profit,1269,22,36.3
4-year,Private not-for-profit,2890,18.6,36.3
4-year,Private for-profit,141,75.5,36.3
2-year,Public,3258,14.4,36.3
4-year,Public,11820,19.5,36.3
2-year,Private for-profit,345,38.5,36.3
4-year,Private not-for-profit,611,15.3,36.2
4-year,Private not-for-profit,338,19.4,36.2
4-year,Private not-for-profit,1385,19.4,36.2
4-year,Private not-for-profit,364,19,36.2
2-year,Public,4587,17.2,36.2
2-year,Private not-for-profit,122,32.9,36.2
4-year,Private not-for-profit,830,19.6,36.2
4-year,Private not-for-profit,2191,30.5,36.1
4-year,Private for-profit,710,16.2,36.1
4-year,Private not-for-profit,1554,14.8,36.1
4-year,Private not-for-profit,1023,11,36
4-year,Private not-for-profit,4550,19.3,36
4-year,Private not-for-profit,1713,26.3,36
4-year,Private not-for-profit,1144,16.3,36
4-year,Private not-for-profit,1168,18.8,36
4-year,Private not-for-profit,368,20,36
4-year,Public,17223,18.8,36
4-year,Private for-profit,2456,13.2,36
4-year,Public,21162,19.5,35.9
4-year,Private not-for-profit,973,23.6,35.9
2-year,Public,4900,18.1,35.9
2-year,Private for-profit,1856,61.9,35.9
2-year,Public,10007,13.4,35.8
4-year,Private not-for-profit,180,21.8,35.8
4-year,Private not-for-profit,2027,19.7,35.8
2-year,Public,6214,19.7,35.8
2-year,Public,10817,10.3,35.8
4-year,Private not-for-profit,1620,20.8,35.8
2-year,Public,10704,17.9,35.8
4-year,Private not-for-profit,2825,21,35.7
4-year,Private not-for-profit,1068,23.6,35.7
4-year,Public,10297,16.7,35.7
4-year,Public,21182,22.4,35.7
4-year,Public,7025,16.6,35.7
4-year,Private for-profit,180,51.8,35.7
4-year,Public,6816,17.9,35.7
4-year,Public,10052,19.5,35.7
4-year,Private not-for-profit,743,14,35.7
4-year,Private not-for-profit,1492,28.2,35.7
2-year,Public,5893,18.4,35.7
4-year,Private not-for-profit,1844,21.7,35.7
4-year,Private not-for-profit,2826,23.8,35.7
4-year,Private not-for-profit,6835,25.1,35.6
2-year,Public,8153,16.9,35.6
2-year,Public,6265,23.5,35.6
2-year,Private for-profit,212,75,35.6
2-year,Private not-for-profit,219,61.4,35.6
4-year,Private not-for-profit,3727,21.2,35.6
2-year,Public,5118,19.5,35.6
2-year,Public,10873,18.4,35.6
2-year,Public,5490,19.1,35.6
4-year,Public,5473,19.8,35.6
4-year,Private not-for-profit,231,14.5,35.6
4-year,Private for-profit,2338,18.5,35.6
4-year,Private not-for-profit,1207,24.2,35.6
2-year,Public,41627,8.8,35.6
4-year,Private not-for-profit,13292,20.6,35.5
2-year,Public,3533,21.8,35.5
2-year,Public,18561,8.2,35.5
4-year,Private not-for-profit,904,14.8,35.5
2-year,Private for-profit,196,32,35.5
4-year,Public,4127,16.7,35.5
2-year,Public,12319,12,35.5
2-year,Public,6676,23.9,35.5
2-year,Public,21647,22,35.5
2-year,Public,3617,20.5,35.4
2-year,Public,1214,16.2,35.4
4-year,Private not-for-profit,1531,18.6,35.4
2-year,Public,10335,14.2,35.4
4-year,Public,9152,18.5,35.4
2-year,Private for-profit,183,2.6,35.4
4-year,Private not-for-profit,3435,26.1,35.4
4-year,Private not-for-profit,316,19,35.4
2-year,Private not-for-profit,114,34.1,35.4
4-year,Private not-for-profit,1380,20.6,35.4
2-year,Public,10502,24.6,35.3
4-year,Private for-profit,1208,35.4,35.3
4-year,Private not-for-profit,1196,19.4,35.3
4-year,Public,1401,32.9,35.3
4-year,Public,6969,26,35.3
2-year,Public,14529,13,35.3
2-year,Public,10771,18.6,35.3
2-year,Public,30468,17.5,35.3
2-year,Private for-profit,651,34.8,35.2
2-year,Private for-profit,815,29.6,35.2
4-year,Private for-profit,1408,18.8,35.2
2-year,Public,1148,11.7,35.2
2-year,Public,2131,21.3,35.2
2-year,Public,5014,31,35.2
4-year,Private not-for-profit,729,31.9,35.2
4-year,Private not-for-profit,1772,21.7,35.2
2-year,Public,5172,17.7,35.1
2-year,Public,4495,12.4,35.1
4-year,Private not-for-profit,2171,18.3,35.1
2-year,Public,57978,11.7,35.1
4-year,Public,13486,25,35.1
4-year,Public,2889,32.3,35.1
4-year,Public,31706,20.5,35.1
2-year,Public,4130,21.1,35
4-year,Private not-for-profit,1100,20.6,35
4-year,Private not-for-profit,926,17.1,35
4-year,Private not-for-profit,6491,19.7,35
2-year,Private for-profit,196,18.5,35
2-year,Private for-profit,195,27.8,35
4-year,Private for-profit,612,31.8,35
4-year,Private for-profit,609,43.9,35
2-year,Private not-for-profit,524,11.1,35
4-year,Private not-for-profit,609,18.9,35
2-year,Private for-profit,153,40.1,34.9
2-year,Public,5867,32.4,34.9
4-year,Public,9382,16.6,34.9
2-year,Public,2426,25.8,34.8
2-year,Public,2721,24.4,34.8
2-year,Public,8726,10.9,34.8
4-year,Public,6585,16.6,34.8
2-year,Public,5911,15.7,34.8
4-year,Private not-for-profit,2305,29,34.8
2-year,Private for-profit,867,62.9,34.8
4-year,Private not-for-profit,1531,24,34.8
2-year,Public,4188,16.8,34.8
4-year,Private not-for-profit,3063,19.8,34.8
2-year,Public,8555,14.7,34.7
4-year,Private not-for-profit,1212,19.6,34.7
4-year,Public,5233,14.6,34.7
4-year,Public,5193,23.4,34.7
4-year,Private for-profit,201,36.1,34.7
2-year,Public,8797,15.6,34.7
2-year,Public,10256,16.8,34.7
2-year,Public,64072,11,34.7
2-year,Public,11365,19.2,34.7
4-year,Public,31243,24.4,34.6
2-year,Public,3225,18.7,34.6
4-year,Private not-for-profit,648,29.8,34.6
2-year,Public,5059,15.7,34.6
4-year,Private not-for-profit,1555,24.6,34.6
4-year,Public,17230,18,34.6
4-year,Public,11220,22.1,34.6
2-year,Public,2699,29.4,34.6
2-year,Public,5301,14.5,34.5
4-year,Private not-for-profit,243,12.1,34.5
4-year,Public,6731,15.3,34.5
2-year,Public,1893,13.1,34.5
4-year,Private not-for-profit,3965,23.7,34.5
2-year,Public,19287,12.4,34.5
2-year,Private for-profit,540,31.9,34.5
4-year,Private not-for-profit,4089,25.4,34.5
2-year,Public,10238,13.1,34.5
4-year,Private not-for-profit,1572,24.5,34.4
4-year,Public,16255,22.2,34.4
2-year,Public,23004,10.1,34.4
2-year,Public,28385,27.9,34.4
4-year,Private not-for-profit,1065,20.9,34.4
4-year,Private not-for-profit,2393,24,34.4
2-year,Public,9559,18,34.4
4-year,Private not-for-profit,6357,26,34.4
2-year,Public,5410,16.5,34.4
4-year,Private not-for-profit,1700,32.9,34.4
4-year,Private not-for-profit,1535,22.1,34.4
4-year,Public,11006,19.3,34.3
4-year,Public,31005,21.7,34.3
4-year,Private not-for-profit,791,20.9,34.3
4-year,Private not-for-profit,172,17.8,34.3
4-year,Public,2003,21.9,34.2
4-year,Public,11348,24.3,34.2
2-year,Public,50771,11.6,34.2
2-year,Public,5506,15.7,34.2
2-year,Public,3988,24.7,34.2
2-year,Public,4233,18.5,34.2
4-year,Public,9430,21.6,34.2
4-year,Public,44072,24.2,34.2
4-year,Public,25690,26.1,34.1
4-year,Public,39979,25.2,34.1
4-year,Public,13049,24.6,34.1
4-year,Public,19696,20,34.1
4-year,Public,5591,27.1,34.1
4-year,Private not-for-profit,8640,22.2,34
4-year,Private not-for-profit,971,13.6,34
4-year,Private not-for-profit,1329,20.7,34
4-year,Public,4246,21.2,34
4-year,Public,24342,18.8,34
2-year,Private for-profit,436,24.6,34
4-year,Public,6288,12.6,34
4-year,Public,27044,20.2,34
4-year,Private not-for-profit,1724,21.7,33.9
4-year,Public,9515,25.5,33.9
4-year,Private not-for-profit,2161,23.9,33.9
2-year,Public,5332,15.1,33.9
2-year,Public,1281,26.4,33.9
2-year,Public,11308,19.2,33.8
2-year,Public,3084,23.6,33.8
2-year,Public,4419,18,33.8
4-year,Private not-for-profit,4515,39.2,33.8
2-year,Public,5694,29.3,33.8
4-year,Public,6906,22.5,33.8
2-year,Public,2044,24,33.8
2-year,Public,7386,14,33.8
4-year,Private not-for-profit,1388,15.1,33.8
4-year,Private not-for-profit,27765,22.1,33.7
4-year,Private not-for-profit,2882,18.3,33.7
4-year,Private for-profit,229,39.6,33.7
4-year,Public,8350,25.3,33.7
4-year,Private for-profit,290,40.5,33.7
4-year,Private for-profit,471,38.4,33.7
2-year,Private not-for-profit,2036,36.6,33.7
4-year,Private for-profit,404,33.2,33.7
4-year,Public,4605,24,33.7
4-year,Public,7017,21.1,33.6
4-year,Private not-for-profit,320,24.5,33.6
4-year,Private not-for-profit,351,25,33.6
4-year,Public,24385,22.3,33.6
4-year,Public,30370,18.3,33.5
2-year,Public,32003,17.5,33.5
4-year,Public,24492,23,33.5
4-year,Public,24498,24.4,33.5
